pan, gain, left, right
1, 40, 0.418, 0.0
1, 41, 0.425, 0.0
1, 42, 0.432, 0.0
1, 43, 0.439, 0.0
1, 44, 0.452, 0.0
1, 45, 0.461, 0.0
1, 46, 0.466, 0.0
1, 47, 0.476, 0.0
1, 48, 0.488, 0.0
1, 49, 0.495, 0.0
1, 50, 0.511, 0.0
1, 51, 0.527, 0.0
1, 52, 0.549, 0.0
1, 53, 0.56, 0.0
1, 54, 0.565, 0.0
1, 55, 0.571, 0.0
1, 56, 0.582, 0.0
1, 57, 0.592, 0.0
1, 58, 0.603, 0.0
1, 59, 0.614, 0.0
1, 60, 0.62, 0.202
1, 61, 0.636, 0.202
1, 62, 0.647, 0.202
1, 63, 0.652, 0.202
1, 64, 0.663, 0.202
1, 65, 0.668, 0.202
1, 66, 0.685, 0.202
1, 67, 0.69, 0.202
1, 68, 0.701, 0.202
1, 69, 0.712, 0.202
1, 70, 0.717, 0.202
1, 71, 0.728, 0.202
1, 72, 0.739, 0.202
1, 73, 0.75, 0.202
1, 74, 0.761, 0.202
1, 75, 0.766, 0.265
1, 76, 0.777, 0.265
1, 77, 0.788, 0.265
1, 78, 0.799, 0.265
1, 79, 0.804, 0.265
1, 80, 0.815, 0.265
1, 81, 0.826, 0.265
1, 82, 0.837, 0.265
1, 83, 0.848, 0.265
1, 84, 0.853, 0.301
1, 85, 0.864, 0.301
1, 86, 0.875, 0.301
1, 87, 0.886, 0.301
1, 88, 0.897, 0.301
1, 89, 0.902, 0.301
1, 90, 0.913, 0.326
1, 91, 0.924, 0.326
1, 92, 0.935, 0.326
1, 93, 0.94, 0.326
1, 94, 0.951, 0.326
1, 95, 0.962, 0.347
1, 96, 0.973, 0.347
1, 97, 0.978, 0.347
1, 98, 0.989, 0.362
1, 99, 1.0, 0.362
2, 0, 0.0, 0.0
2, 2, 0.0, 0.0
2, 3, 0.0, 0.0
2, 4, 0.0, 0.0
2, 5, 0.0, 0.0
2, 6, 0.0, 0.0
2, 7, 0.0, 0.0
2, 8, 0.0, 0.0
2, 9, 0.0, 0.0
2, 10, 0.0, 0.0
2, 11, 0.0, 0.0
2, 12, 0.0, 0.0
2, 13, 0.0, 0.0
2, 14, 0.0, 0.0
2, 15, 0.0, 0.0
2, 16, 0.202, 0.0
2, 17, 0.202, 0.0
2, 18, 0.202, 0.0
2, 19, 0.202, 0.0
2, 20, 0.202, 0.0
2, 21, 0.202, 0.0
2, 22, 0.265, 0.0
2, 23, 0.265, 0.0
2, 24, 0.265, 0.0
2, 25, 0.265, 0.0
2, 26, 0.265, 0.0
2, 27, 0.301, 0.0
2, 28, 0.301, 0.0
2, 29, 0.301, 0.0
2, 30, 0.326, 0.0
2, 31, 0.326, 0.0
2, 32, 0.347, 0.0
2, 33, 0.347, 0.0
2, 34, 0.362, 0.0
2, 35, 0.362, 0.0
2, 36, 0.377, 0.0
2, 37, 0.389, 0.0
2, 38, 0.398, 0.0
2, 39, 0.408, 0.0
2, 40, 0.418, 0.0
2, 41, 0.425, 0.0
2, 42, 0.432, 0.0
2, 43, 0.439, 0.0
2, 44, 0.452, 0.0
2, 45, 0.461, 0.0
2, 46, 0.466, 0.0
2, 47, 0.476, 0.0
2, 48, 0.488, 0.0
2, 49, 0.495, 0.202
2, 50, 0.511, 0.202
2, 51, 0.522, 0.202
2, 52, 0.549, 0.202
2, 53, 0.554, 0.202
2, 54, 0.565, 0.202
2, 55, 0.571, 0.202
2, 56, 0.582, 0.202
2, 57, 0.592, 0.202
2, 58, 0.603, 0.202
2, 59, 0.614, 0.202
2, 60, 0.62, 0.202
2, 61, 0.636, 0.265
2, 62, 0.641, 0.265
2, 63, 0.652, 0.265
2, 64, 0.663, 0.265
2, 65, 0.668, 0.265
2, 66, 0.679, 0.265
2, 67, 0.69, 0.265
2, 68, 0.701, 0.265
2, 69, 0.712, 0.301
2, 70, 0.717, 0.301
2, 71, 0.728, 0.301
2, 72, 0.739, 0.301
2, 73, 0.75, 0.301
2, 74, 0.761, 0.301
2, 75, 0.766, 0.301
2, 76, 0.777, 0.326
2, 77, 0.788, 0.326
2, 78, 0.799, 0.326
2, 79, 0.804, 0.326
2, 80, 0.815, 0.347
2, 81, 0.826, 0.347
2, 82, 0.837, 0.347
2, 83, 0.842, 0.347
2, 84, 0.853, 0.362
2, 85, 0.864, 0.362
2, 86, 0.875, 0.362
2, 87, 0.886, 0.377
2, 88, 0.891, 0.377
2, 89, 0.902, 0.377
2, 90, 0.913, 0.389
2, 91, 0.924, 0.389
2, 92, 0.929, 0.389
2, 93, 0.94, 0.398
2, 94, 0.951, 0.398
2, 95, 0.962, 0.408
2, 96, 0.973, 0.408
2, 97, 0.978, 0.418
2, 98, 0.989, 0.418
2, 99, 1.0, 0.425
3, 0, 0.0, 0.0
3, 2, 0.0, 0.0
3, 3, 0.0, 0.0
3, 4, 0.0, 0.0
3, 5, 0.0, 0.0
3, 6, 0.0, 0.0
3, 7, 0.0, 0.0
3, 8, 0.0, 0.0
3, 9, 0.0, 0.0
3, 10, 0.0, 0.0
3, 11, 0.0, 0.0
3, 12, 0.0, 0.0
3, 13, 0.0, 0.0
3, 14, 0.0, 0.0
3, 15, 0.0, 0.0
3, 16, 0.202, 0.0
3, 17, 0.202, 0.0
3, 18, 0.202, 0.0
3, 19, 0.202, 0.0
3, 20, 0.202, 0.0
3, 21, 0.202, 0.0
3, 22, 0.265, 0.0
3, 23, 0.265, 0.0
3, 24, 0.265, 0.0
3, 25, 0.265, 0.0
3, 26, 0.265, 0.0
3, 27, 0.301, 0.0
3, 28, 0.301, 0.0
3, 29, 0.301, 0.0
3, 30, 0.326, 0.0
3, 31, 0.326, 0.0
3, 32, 0.347, 0.0
3, 33, 0.347, 0.0
3, 34, 0.362, 0.0
3, 35, 0.362, 0.0
3, 36, 0.377, 0.0
3, 37, 0.389, 0.0
3, 38, 0.398, 0.0
3, 39, 0.408, 0.0
3, 40, 0.418, 0.0
3, 41, 0.425, 0.0
3, 42, 0.432, 0.0
3, 43, 0.439, 0.0
3, 44, 0.452, 0.0
3, 45, 0.456, 0.202
3, 46, 0.466, 0.202
3, 47, 0.476, 0.202
3, 48, 0.483, 0.202
3, 49, 0.495, 0.202
3, 50, 0.5, 0.202
3, 51, 0.522, 0.202
3, 52, 0.549, 0.265
3, 53, 0.554, 0.265
3, 54, 0.565, 0.265
3, 55, 0.571, 0.265
3, 56, 0.582, 0.265
3, 57, 0.592, 0.265
3, 58, 0.603, 0.265
3, 59, 0.614, 0.265
3, 60, 0.62, 0.265
3, 61, 0.636, 0.301
3, 62, 0.641, 0.301
3, 63, 0.652, 0.301
3, 64, 0.663, 0.301
3, 65, 0.668, 0.301
3, 66, 0.679, 0.301
3, 67, 0.69, 0.326
3, 68, 0.701, 0.326
3, 69, 0.712, 0.326
3, 70, 0.717, 0.326
3, 71, 0.728, 0.326
3, 72, 0.739, 0.347
3, 73, 0.75, 0.347
3, 74, 0.755, 0.347
3, 75, 0.766, 0.347
3, 76, 0.777, 0.362
3, 77, 0.788, 0.362
3, 78, 0.799, 0.362
3, 79, 0.804, 0.377
3, 80, 0.815, 0.377
3, 81, 0.826, 0.377
3, 82, 0.837, 0.389
3, 83, 0.842, 0.389
3, 84, 0.853, 0.398
3, 85, 0.864, 0.398
3, 86, 0.875, 0.408
3, 87, 0.886, 0.408
3, 88, 0.891, 0.408
3, 89, 0.902, 0.418
3, 90, 0.913, 0.425
3, 91, 0.924, 0.425
3, 92, 0.929, 0.432
3, 93, 0.94, 0.432
3, 94, 0.951, 0.439
3, 95, 0.962, 0.444
3, 96, 0.967, 0.452
3, 97, 0.978, 0.452
3, 98, 0.989, 0.456
3, 99, 1.0, 0.461
4, 0, 0.0, 0.0
4, 2, 0.0, 0.0
4, 3, 0.0, 0.0
4, 4, 0.0, 0.0
4, 5, 0.0, 0.0
4, 6, 0.0, 0.0
4, 7, 0.0, 0.0
4, 8, 0.0, 0.0
4, 9, 0.0, 0.0
4, 10, 0.0, 0.0
4, 11, 0.0, 0.0
4, 12, 0.0, 0.0
4, 13, 0.0, 0.0
4, 14, 0.0, 0.0
4, 15, 0.0, 0.0
4, 16, 0.202, 0.0
4, 17, 0.202, 0.0
4, 18, 0.202, 0.0
4, 19, 0.202, 0.0
4, 20, 0.202, 0.0
4, 21, 0.202, 0.0
4, 22, 0.265, 0.0
4, 23, 0.265, 0.0
4, 24, 0.265, 0.0
4, 25, 0.265, 0.0
4, 26, 0.265, 0.0
4, 27, 0.301, 0.0
4, 28, 0.301, 0.0
4, 29, 0.301, 0.0
4, 30, 0.326, 0.0
4, 31, 0.326, 0.0
4, 32, 0.347, 0.0
4, 33, 0.347, 0.0
4, 34, 0.362, 0.0
4, 35, 0.362, 0.0
4, 36, 0.377, 0.0
4, 37, 0.389, 0.0
4, 38, 0.398, 0.0
4, 39, 0.408, 0.0
4, 40, 0.418, 0.0
4, 41, 0.425, 0.0
4, 42, 0.432, 0.202
4, 43, 0.439, 0.202
4, 44, 0.452, 0.202
4, 45, 0.456, 0.202
4, 46, 0.466, 0.202
4, 47, 0.476, 0.202
4, 48, 0.483, 0.202
4, 49, 0.495, 0.202
4, 50, 0.5, 0.265
4, 51, 0.522, 0.265
4, 52, 0.549, 0.265
4, 53, 0.554, 0.265
4, 54, 0.565, 0.265
4, 55, 0.571, 0.301
4, 56, 0.582, 0.301
4, 57, 0.592, 0.301
4, 58, 0.603, 0.301
4, 59, 0.614, 0.301
4, 60, 0.62, 0.301
4, 61, 0.63, 0.326
4, 62, 0.641, 0.326
4, 63, 0.652, 0.326
4, 64, 0.663, 0.326
4, 65, 0.668, 0.326
4, 66, 0.679, 0.347
4, 67, 0.69, 0.347
4, 68, 0.701, 0.347
4, 69, 0.712, 0.347
4, 70, 0.717, 0.362
4, 71, 0.728, 0.362
4, 72, 0.739, 0.362
4, 73, 0.745, 0.377
4, 74, 0.755, 0.377
4, 75, 0.766, 0.377
4, 76, 0.777, 0.389
4, 77, 0.788, 0.389
4, 78, 0.793, 0.398
4, 79, 0.804, 0.398
4, 80, 0.815, 0.398
4, 81, 0.826, 0.408
4, 82, 0.837, 0.408
4, 83, 0.842, 0.418
4, 84, 0.853, 0.425
4, 85, 0.864, 0.425
4, 86, 0.875, 0.432
4, 87, 0.88, 0.432
4, 88, 0.891, 0.439
4, 89, 0.902, 0.444
4, 90, 0.913, 0.452
4, 91, 0.924, 0.452
4, 92, 0.929, 0.456
4, 93, 0.94, 0.461
4, 94, 0.951, 0.466
4, 95, 0.962, 0.471
4, 96, 0.967, 0.476
4, 97, 0.978, 0.478
4, 98, 0.989, 0.483
4, 99, 1.0, 0.488
5, 0, 0.0, 0.0
5, 2, 0.0, 0.0
5, 3, 0.0, 0.0
5, 4, 0.0, 0.0
5, 5, 0.0, 0.0
5, 6, 0.0, 0.0
5, 7, 0.0, 0.0
5, 8, 0.0, 0.0
5, 9, 0.0, 0.0
5, 10, 0.0, 0.0
5, 11, 0.0, 0.0
5, 12, 0.0, 0.0
5, 13, 0.0, 0.0
5, 14, 0.0, 0.0
5, 15, 0.0, 0.0
5, 16, 0.202, 0.0
5, 17, 0.202, 0.0
5, 18, 0.202, 0.0
5, 19, 0.202, 0.0
5, 20, 0.202, 0.0
5, 21, 0.202, 0.0
5, 22, 0.265, 0.0
5, 23, 0.265, 0.0
5, 24, 0.265, 0.0
5, 25, 0.265, 0.0
5, 26, 0.265, 0.0
5, 27, 0.301, 0.0
5, 28, 0.301, 0.0
5, 29, 0.301, 0.0
5, 30, 0.326, 0.0
5, 31, 0.326, 0.0
5, 32, 0.347, 0.0
5, 33, 0.347, 0.0
5, 34, 0.362, 0.0
5, 35, 0.362, 0.0
5, 36, 0.377, 0.0
5, 37, 0.389, 0.0
5, 38, 0.398, 0.0
5, 39, 0.408, 0.202
5, 40, 0.418, 0.202
5, 41, 0.425, 0.202
5, 42, 0.432, 0.202
5, 43, 0.439, 0.202
5, 44, 0.452, 0.202
5, 45, 0.456, 0.202
5, 46, 0.466, 0.202
5, 47, 0.476, 0.265
5, 48, 0.483, 0.265
5, 49, 0.495, 0.265
5, 50, 0.5, 0.265
5, 51, 0.522, 0.265
5, 52, 0.538, 0.301
5, 53, 0.554, 0.301
5, 54, 0.565, 0.301
5, 55, 0.571, 0.301
5, 56, 0.582, 0.301
5, 57, 0.592, 0.326
5, 58, 0.603, 0.326
5, 59, 0.609, 0.326
5, 60, 0.62, 0.326
5, 61, 0.63, 0.347
5, 62, 0.641, 0.347
5, 63, 0.652, 0.347
5, 64, 0.663, 0.347
5, 65, 0.668, 0.362
5, 66, 0.679, 0.362
5, 67, 0.69, 0.362
5, 68, 0.701, 0.362
5, 69, 0.707, 0.377
5, 70, 0.717, 0.377
5, 71, 0.728, 0.389
5, 72, 0.739, 0.389
5, 73, 0.745, 0.389
5, 74, 0.755, 0.398
5, 75, 0.766, 0.398
5, 76, 0.777, 0.408
5, 77, 0.783, 0.408
5, 78, 0.793, 0.418
5, 79, 0.804, 0.418
5, 80, 0.815, 0.425
5, 81, 0.826, 0.425
5, 82, 0.837, 0.432
5, 83, 0.842, 0.439
5, 84, 0.853, 0.439
5, 85, 0.864, 0.444
5, 86, 0.875, 0.452
5, 87, 0.88, 0.456
5, 88, 0.891, 0.461
5, 89, 0.902, 0.466
5, 90, 0.913, 0.466
5, 91, 0.918, 0.471
5, 92, 0.929, 0.476
5, 93, 0.94, 0.483
5, 94, 0.951, 0.488
5, 95, 0.957, 0.49
5, 96, 0.967, 0.495
5, 97, 0.978, 0.498
5, 98, 0.989, 0.511
5, 99, 1.0, 0.516
6, 0, 0.0, 0.0
6, 2, 0.0, 0.0
6, 3, 0.0, 0.0
6, 4, 0.0, 0.0
6, 5, 0.0, 0.0
6, 6, 0.0, 0.0
6, 7, 0.0, 0.0
6, 8, 0.0, 0.0
6, 9, 0.0, 0.0
6, 10, 0.0, 0.0
6, 11, 0.0, 0.0
6, 12, 0.0, 0.0
6, 13, 0.0, 0.0
6, 14, 0.0, 0.0
6, 15, 0.0, 0.0
6, 16, 0.202, 0.0
6, 17, 0.202, 0.0
6, 18, 0.202, 0.0
6, 19, 0.202, 0.0
6, 20, 0.202, 0.0
6, 21, 0.202, 0.0
6, 22, 0.265, 0.0
6, 23, 0.265, 0.0
6, 24, 0.265, 0.0
6, 25, 0.265, 0.0
6, 26, 0.265, 0.0
6, 27, 0.301, 0.0
6, 28, 0.301, 0.0
6, 29, 0.301, 0.0
6, 30, 0.326, 0.0
6, 31, 0.326, 0.0
6, 32, 0.347, 0.0
6, 33, 0.347, 0.0
6, 34, 0.362, 0.0
6, 35, 0.362, 0.0
6, 36, 0.377, 0.0
6, 37, 0.389, 0.0
6, 38, 0.398, 0.202
6, 39, 0.408, 0.202
6, 40, 0.418, 0.202
6, 41, 0.425, 0.202
6, 42, 0.432, 0.202
6, 43, 0.439, 0.202
6, 44, 0.452, 0.202
6, 45, 0.456, 0.265
6, 46, 0.466, 0.265
6, 47, 0.476, 0.265
6, 48, 0.483, 0.265
6, 49, 0.495, 0.265
6, 50, 0.5, 0.301
6, 51, 0.522, 0.301
6, 52, 0.538, 0.301
6, 53, 0.554, 0.326
6, 54, 0.565, 0.326
6, 55, 0.571, 0.326
6, 56, 0.582, 0.326
6, 57, 0.592, 0.326
6, 58, 0.603, 0.347
6, 59, 0.609, 0.347
6, 60, 0.62, 0.347
6, 61, 0.63, 0.347
6, 62, 0.641, 0.362
6, 63, 0.652, 0.362
6, 64, 0.658, 0.362
6, 65, 0.668, 0.377
6, 66, 0.679, 0.377
6, 67, 0.69, 0.377
6, 68, 0.701, 0.389
6, 69, 0.707, 0.389
6, 70, 0.717, 0.398
6, 71, 0.728, 0.398
6, 72, 0.734, 0.408
6, 73, 0.745, 0.408
6, 74, 0.755, 0.418
6, 75, 0.766, 0.418
6, 76, 0.777, 0.425
6, 77, 0.783, 0.425
6, 78, 0.793, 0.432
6, 79, 0.804, 0.439
6, 80, 0.815, 0.439
6, 81, 0.826, 0.444
6, 82, 0.832, 0.452
6, 83, 0.842, 0.456
6, 84, 0.853, 0.456
6, 85, 0.864, 0.461
6, 86, 0.87, 0.466
6, 87, 0.88, 0.471
6, 88, 0.891, 0.476
6, 89, 0.902, 0.478
6, 90, 0.913, 0.483
6, 91, 0.918, 0.488
6, 92, 0.929, 0.495
6, 93, 0.94, 0.498
6, 94, 0.951, 0.5
6, 95, 0.957, 0.516
6, 96, 0.967, 0.522
6, 97, 0.978, 0.533
6, 98, 0.989, 0.538
6, 99, 0.995, 0.554
7, 0, 0.0, 0.0
7, 2, 0.0, 0.0
7, 3, 0.0, 0.0
7, 4, 0.0, 0.0
7, 5, 0.0, 0.0
7, 6, 0.0, 0.0
7, 7, 0.0, 0.0
7, 8, 0.0, 0.0
7, 9, 0.0, 0.0
7, 10, 0.0, 0.0
7, 11, 0.0, 0.0
7, 12, 0.0, 0.0
7, 13, 0.0, 0.0
7, 14, 0.0, 0.0
7, 15, 0.0, 0.0
7, 16, 0.202, 0.0
7, 17, 0.202, 0.0
7, 18, 0.202, 0.0
7, 19, 0.202, 0.0
7, 20, 0.202, 0.0
7, 21, 0.202, 0.0
7, 22, 0.265, 0.0
7, 23, 0.265, 0.0
7, 24, 0.265, 0.0
7, 25, 0.265, 0.0
7, 26, 0.265, 0.0
7, 27, 0.301, 0.0
7, 28, 0.301, 0.0
7, 29, 0.301, 0.0
7, 30, 0.326, 0.0
7, 31, 0.326, 0.0
7, 32, 0.347, 0.0
7, 33, 0.347, 0.0
7, 34, 0.362, 0.0
7, 35, 0.362, 0.0
7, 36, 0.377, 0.202
7, 37, 0.389, 0.202
7, 38, 0.398, 0.202
7, 39, 0.408, 0.202
7, 40, 0.418, 0.202
7, 41, 0.425, 0.202
7, 42, 0.432, 0.202
7, 43, 0.439, 0.202
7, 44, 0.452, 0.265
7, 45, 0.456, 0.265
7, 46, 0.466, 0.265
7, 47, 0.476, 0.265
7, 48, 0.483, 0.301
7, 49, 0.495, 0.301
7, 50, 0.5, 0.301
7, 51, 0.522, 0.326
7, 52, 0.538, 0.326
7, 53, 0.554, 0.326
7, 54, 0.565, 0.326
7, 55, 0.571, 0.347
7, 56, 0.582, 0.347
7, 57, 0.592, 0.347
7, 58, 0.603, 0.347
7, 59, 0.609, 0.362
7, 60, 0.62, 0.362
7, 61, 0.63, 0.362
7, 62, 0.641, 0.377
7, 63, 0.647, 0.377
7, 64, 0.658, 0.377
7, 65, 0.668, 0.389
7, 66, 0.679, 0.389
7, 67, 0.69, 0.398
7, 68, 0.696, 0.398
7, 69, 0.707, 0.408
7, 70, 0.717, 0.408
7, 71, 0.728, 0.418
7, 72, 0.734, 0.418
7, 73, 0.745, 0.425
7, 74, 0.755, 0.425
7, 75, 0.766, 0.432
7, 76, 0.772, 0.439
7, 77, 0.783, 0.439
7, 78, 0.793, 0.444
7, 79, 0.804, 0.452
7, 80, 0.815, 0.456
7, 81, 0.821, 0.456
7, 82, 0.832, 0.461
7, 83, 0.842, 0.466
7, 84, 0.853, 0.471
7, 85, 0.864, 0.476
7, 86, 0.87, 0.478
7, 87, 0.88, 0.483
7, 88, 0.891, 0.49
7, 89, 0.902, 0.495
7, 90, 0.908, 0.498
7, 91, 0.918, 0.5
7, 92, 0.929, 0.516
7, 93, 0.94, 0.522
7, 94, 0.951, 0.533
7, 95, 0.957, 0.549
7, 96, 0.967, 0.554
7, 97, 0.978, 0.565
7, 98, 0.989, 0.571
7, 99, 0.995, 0.582
8, 0, 0.0, 0.0
8, 2, 0.0, 0.0
8, 3, 0.0, 0.0
8, 4, 0.0, 0.0
8, 5, 0.0, 0.0
8, 6, 0.0, 0.0
8, 7, 0.0, 0.0
8, 8, 0.0, 0.0
8, 9, 0.0, 0.0
8, 10, 0.0, 0.0
8, 11, 0.0, 0.0
8, 12, 0.0, 0.0
8, 13, 0.0, 0.0
8, 14, 0.0, 0.0
8, 15, 0.0, 0.0
8, 16, 0.202, 0.0
8, 17, 0.202, 0.0
8, 18, 0.202, 0.0
8, 19, 0.202, 0.0
8, 20, 0.202, 0.0
8, 21, 0.202, 0.0
8, 22, 0.202, 0.0
8, 23, 0.265, 0.0
8, 24, 0.265, 0.0
8, 25, 0.265, 0.0
8, 26, 0.265, 0.0
8, 27, 0.301, 0.0
8, 28, 0.301, 0.0
8, 29, 0.301, 0.0
8, 30, 0.326, 0.0
8, 31, 0.326, 0.0
8, 32, 0.347, 0.0
8, 33, 0.347, 0.0
8, 34, 0.362, 0.0
8, 35, 0.362, 0.202
8, 36, 0.377, 0.202
8, 37, 0.389, 0.202
8, 38, 0.398, 0.202
8, 39, 0.444, 0.265
8, 40, 0.418, 0.202
8, 41, 0.432, 0.265
8, 42, 0.432, 0.265
8, 43, 0.444, 0.265
8, 44, 0.452, 0.265
8, 45, 0.456, 0.265
8, 46, 0.466, 0.265
8, 47, 0.476, 0.301
8, 48, 0.483, 0.301
8, 49, 0.495, 0.301
8, 50, 0.5, 0.326
8, 51, 0.522, 0.326
8, 52, 0.538, 0.347
8, 53, 0.554, 0.347
8, 54, 0.565, 0.347
8, 55, 0.571, 0.347
8, 56, 0.582, 0.362
8, 57, 0.592, 0.362
8, 58, 0.603, 0.362
8, 59, 0.609, 0.377
8, 60, 0.62, 0.377
8, 61, 0.63, 0.377
8, 62, 0.641, 0.389
8, 63, 0.652, 0.389
8, 64, 0.663, 0.398
8, 65, 0.668, 0.398
8, 66, 0.679, 0.408
8, 67, 0.69, 0.408
8, 68, 0.701, 0.418
8, 69, 0.707, 0.418
8, 70, 0.717, 0.425
8, 71, 0.728, 0.425
8, 72, 0.739, 0.432
8, 73, 0.745, 0.439
8, 74, 0.755, 0.439
8, 75, 0.766, 0.444
8, 76, 0.777, 0.452
8, 77, 0.783, 0.452
8, 78, 0.793, 0.456
8, 79, 0.804, 0.461
8, 80, 0.815, 0.466
8, 81, 0.821, 0.471
8, 82, 0.837, 0.476
8, 83, 0.842, 0.478
8, 84, 0.853, 0.483
8, 85, 0.864, 0.488
8, 86, 0.87, 0.495
8, 87, 0.88, 0.498
8, 88, 0.891, 0.5
8, 89, 0.902, 0.516
8, 90, 0.913, 0.522
8, 91, 0.918, 0.533
8, 92, 0.929, 0.538
8, 93, 0.94, 0.554
8, 94, 0.951, 0.565
8, 95, 0.957, 0.571
8, 96, 0.967, 0.582
8, 97, 0.978, 0.592
8, 98, 0.989, 0.603
8, 99, 1.0, 0.609
9, 0, 0.0, 0.0
9, 2, 0.0, 0.0
9, 3, 0.0, 0.0
9, 4, 0.0, 0.0
9, 5, 0.0, 0.0
9, 6, 0.0, 0.0
9, 7, 0.0, 0.0
9, 8, 0.0, 0.0
9, 9, 0.0, 0.0
9, 10, 0.0, 0.0
9, 11, 0.0, 0.0
9, 12, 0.0, 0.0
9, 13, 0.0, 0.0
9, 14, 0.0, 0.0
9, 15, 0.0, 0.0
9, 16, 0.202, 0.0
9, 17, 0.202, 0.0
9, 18, 0.202, 0.0
9, 19, 0.202, 0.0
9, 20, 0.202, 0.0
9, 21, 0.202, 0.0
9, 22, 0.265, 0.0
9, 23, 0.265, 0.0
9, 24, 0.265, 0.0
9, 25, 0.265, 0.0
9, 26, 0.265, 0.0
9, 27, 0.301, 0.0
9, 28, 0.301, 0.0
9, 29, 0.301, 0.0
9, 30, 0.326, 0.0
9, 31, 0.326, 0.0
9, 32, 0.347, 0.0
9, 33, 0.347, 0.0
9, 34, 0.362, 0.202
9, 35, 0.362, 0.202
9, 36, 0.377, 0.202
9, 37, 0.389, 0.202
9, 38, 0.398, 0.202
9, 39, 0.408, 0.202
9, 40, 0.418, 0.202
9, 41, 0.425, 0.265
